States,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20
Andhra Pradesh,5.5,5.8,5.8,20.5,17.4,3.3,8.3,7,6.4,6.6,6,6.7
Assam,4.7,4.4,4.8,11.1,9.6,0.6,3.8,5.5,1.2,3,4,7.6
Bihar,10.6,10.3,15.4,46.6,46,17.8,12.8,13.4,11.9,9.8,10,12.7
Chhattisgarh,9.7,8.4,7.5,3.4,10.5,14.2,10.3,5.6,2,6.7,3.4,7.2
Delhi,22.2,14.8,17,16.7,42.3,18.2,20.3,13.8,12.5,6.3,6.6,7.6
Goa,8.9,2.8,5.2,13.3,21.2,10,17.1,16.2,15.4,10.9,15.9,13.2
Gujarat,5.5,6.4,6.7,18.7,12.1,3.2,1.8,1.9,3.4,4,3.9,3
Haryana,20.3,25.8,25.1,43.2,29,26.7,24.2,33.5,19.3,27.3,25.6,32.5
Himachal Pradesh,16.8,16.8,18.8,2.2,26.9,13.5,24.3,15.8,11.4,13.5,15.9,7.9
Jammu & Kashmir,21.1,20.8,15.5,NA,18.7,17.9,10.9,11.1,16.2,16.1,8.6,16.6
Jharkhand,10.6,11.8,8.2,47.1,59.2,20.9,7.6,9.8,9.3,11.8,9.5,12.4
Karnataka,2.9,3.6,3.5,29.8,20,8.4,4,0.5,2.4,1.6,1.9,1.4
Kerala,5.3,7.6,9,17,17.9,9.7,7.1,11,5.9,3.9,5.8,6.5
Madhya Pradesh,4.1,4.6,2.2,12.4,22,6.5,5.1,4.7,3.9,3.3,4.3,4
Maharashtra,5,4.7,5.8,20.9,15.5,9.2,3.9,6.2,4.5,4.2,3,3.9
Meghalaya,1.7,3.6,1.6,10,5.9,1.1,2.1,3.7,4.3,4.6,1.1,6.6
Odisha,1.9,3.1,13.1,23.8,11.4,3.8,1.9,1.4,2.1,2.2,1.7,0.2
Puducherry,0.6,1.8,1.2,75.8,58.2,4.2,15.5,5,10.9,6.2,2.2,2.7
Punjab,11.1,11,10.3,2.9,28.3,16.6,9.2,11,9.6,9.8,7.6,4.4
Rajasthan,11,15.2,11.9,17.7,15.7,14.4,15.8,17.5,15.3,24.1,18.5,28.2
Sikkim,NA,NA,23.6,2.3,24.5,4.5,4.5,12.5,5.7,0.9,1.9,0.7
Tamil Nadu,1.6,2.1,6.4,49.8,33.2,12.2,6.8,2.6,5,2.2,1.1,0.5
Telangana,5.5,8.3,5.8,6.2,14.7,10.6,5.4,5.8,3.3,2.9,1.6,7
Tripura,32.7,28.4,29.9,41.2,21.5,21.7,18.2,27.9,17.4,11.6,13.1,18.2
Uttar Pradesh,7.6,9,10.1,21.5,20.4,9.5,5.6,5.8,4.2,3.8,5.2,14.9
Uttarakhand,5.5,5,19.9,6.5,8,8.6,12.4,14.3,22.3,9.2,1.5,5.2
West Bengal,6.9,4.9,6.9,17.4,17.4,7.3,6.8,14.9,9.3,10.2,11.2,6
