,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,
Andhra Pradesh,5.2,5.8,5.2,4,4.4,3.3,4.3,3.7,5.4,3.9,5.1,5.4,4.641666667
Assam,5.1,5.4,6.8,5,4.8,5.9,4.1,6.5,5.1,5.8,4.9,0.9,5.025
Bihar,8.7,11.5,12.3,12.2,10.6,10.6,13.8,11.8,10.1,12.7,13.1,10.7,11.425
Chhattisgarh,7.9,7.3,8,3.4,9.8,8.1,5.5,5.1,6.6,7.8,4.2,5.4,6.4
Delhi,12.2,11.6,13.1,4.4,12.3,12.7,14.6,13.6,20.4,12.5,16,11.2,13.21666667
Goa,7.5,7.1,8.9,9.3,2.8,10.7,11.8,3.7,3.5,10.4,24.7,11.8,9.35
Gujarat,5.8,5.5,4.5,3,3.4,5.5,4.8,3.9,6.2,5.2,5.9,4.4,4.841666667
Haryana,17.9,21.3,19,1.4,18.3,22.1,19.5,28.7,17.2,23,20.4,27.6,22.03333333
Himachal Pradesh,13.9,13.8,18.8,19.6,13.4,12.6,20.7,19.2,15.6,16.7,23.3,20.2,17.31666667
Jammu & Kashmir,17.1,5.2,15.2,10.6,16.3,14.7,16.3,22.4,19.9,20.7,14.6,12.5,16.29166667
Jharkhand,9.1,6.9,13.6,12.2,9.9,11.7,11.5,14.3,10.3,9.9,10.6,17,11.41666667
Karnataka,1.5,2,1.3,0.5,5.9,5.6,1.3,0.7,3.3,5.8,2.2,0.9,2.583333333
Kerala,6.6,7.4,6.4,3.3,6.4,6,6.2,9.1,5.4,7.4,5.8,6.2,7.225
Madhya Pradesh,4.8,2.5,5.4,4.5,3.7,4.9,4.9,5.5,4.4,3.4,3.7,3.9,4.8
Maharashtra,5.7,3.7,3.3,4.1,4.7,5.3,4.8,5.3,5.5,5.4,5.3,4.9,4.833333333
Meghalaya,2.6,6.4,2,2.3,4.1,5.1,1.7,1.6,1.2,4.3,1.8,2.5,2.966666667
Odisha,4.2,6.6,2.8,6.4,4,4.3,3,3.6,4.2,4.3,4.3,4.4,4.341666667
Puducherry,1.7,0.9,3.9,0.4,0.8,0,0,7.5,0.8,1.2,0.9,4,1.541666667
Punjab,10.5,12.4,9.8,7.5,10.7,12.6,10.4,8.7,11.3,13,8.3,8.4,10.3
Rajasthan,7.7,1.6,9.7,1.3,6.6,11.9,10.2,13.1,7.5,14.2,11.5,11,11.05
Sikkim,13.2,8.3,6.8,4.8,13.3,7,6.8,2.1,6.4,17.1,9.7,3.3,7.566666667
Tamil Nadu,2.2,1.9,1.7,1.2,0.9,1.2,4.8,5.8,1.8,1.3,2.5,5.7,2.583333333
Telangana,2.6,2.4,2.5,2.7,2,4.4,2.9,2.4,2,7.1,6.1,2.3,3.516666667
Tripura,32.6,6.2,10,5.4,30.9,17.4,23.4,27.9,27.2,27.3,15.8,14.6,27.39166667
Uttar Pradesh,9.6,5.5,8.9,6.4,11.3,1.2,9.8,12.3,4.1,10.2,8.1,9.4,9.958333333
Uttarakhand,3.5,5.1,5,6.4,3.6,3,6.1,6.5,2.1,4.8,5.8,5.4,5.166666667
West Bengal,7,6.5,6.1,2.5,6.4,6.3,6.3,6.1,6.4,7.1,6.1,6.2,6.416666667
India,6.9,7.2,6.7,2.3,7,7.9,7.3,8.2,5.1,8.1,7.2,4.6,234.2
,226.4,180.8,211,144.8,221.3,214.1,229.5,251.1,213.9,262.5,240.7,220.2,234.2
,8.385185185,6.696296296,7.814814815,5.362962963,8.196296296,7.92962963,8.5,9.3,7.922222222,9.722222222,8.914814815,8.155555556,8.674074075
